Id,Question,implicit_intermediate_question,implicit_answer_type,gpt_intermediate_question,gpt_answer_type,difference_type
947,In which quarter of Zabrze was the administrative territorial entity located when the Silesian Voivodeship was reformulated?,When the Silesian Voivodeship was reformulated,date,When the Silesian Voivodeship was reformulated,time interval,answer_type_different
948,In whose honor was Ben Gurion Airport named after Lod?,When Ben Gurion Airport was named after Lod,date,When Lod's name was chosen to be honored by Ben Gurion Airport,time interval,intermediate_question_and_answer_type_different
949,"During the Ottoman Empire, what country was located in Cairo?",When the Ottoman Empire existed,time interval,When the Ottoman Empire was located in Cairo,time interval,intermediate_question_different
950,"After working in Brussels, where did Vincent van Gogh go back to for an extended stay with his family?",When Vincent van Gogh worked in Brussels,time interval,When Vincent van Gogh worked in Brussels,date,answer_type_different
951,Who was the director/manager of the National Anti-Corruption Directorate when it started successfully investigating thousands of corruption cases across the political spectrum?,When the National Anti-Corruption Directorate started successfully investigating thousands of corruption cases across the political spectrum,date,When National Anti-Corruption Directorate started successfully investigating thousands of corruption cases across the political spectrum?,date,intermediate_question_different
953,What UCI Women's Team was Annemiek van Vleuten a member of while she was planning to retire at the end of the season?,When Annemiek van Vleuten was planning to retire at the end of the season,time interval,When Annemiek van Vleuten planned to retire from the UCI Women's Team,time interval,intermediate_question_different
954,What chemical compound was used as a pulmonary hypertension drug or therapy when riociguat was in use?,When riociguat was in use,time interval,When riociguat was in use as a pulmonary hypertension drug or therapy,time interval,intermediate_question_different
956,Which football club did Paulo Futre play for after his five-season stint in Benfica (where he was plagued by injuries)?,When Paulo Futre had a five-season stint in Benfica,time interval,When Paulo Futre's five-season stint in Benfica ended,time interval,intermediate_question_different
957,"During the Economy of the United Kingdom Statistics Inflation (CPI), what percentage of GDP was accounted for by the dominant sector of the UK economy?",When the Economy of the United Kingdom Statistics Inflation (CPI) occurred,time interval,When was the Economy of the United Kingdom Statistics Inflation (CPI),date,intermediate_question_and_answer_type_different
958,Who was the mayor of Uherský Brod before Ferdinand Kubáník?,When Ferdinand Kubáník was mayor of Uherský Brod,time interval,When Ferdinand Kubáník became mayor of Uherský Brod,date,intermediate_question_and_answer_type_different
960,"After Greville Ewan Janner was born in Cardiff, Wales, in what occupation was he best known?",When Greville Ewan Janner was born,date,"When Greville Ewan Janner was born in Cardiff, Wales",date,intermediate_question_different
968,What season did Omar McLeod win gold in the 4x400m relay at the CARIFTA Games (U20) and the CAC Junior Championships in San Salvador?,When Omar McLeod won gold in the 4x400m relay at the CARIFTA Games (U20) and the CAC Junior Championships in San Salvador,date,When Omar McLeod won gold in the 4x400m relay at the CARIFTA Games (U20) and the CAC Junior Championships in San Salvador,time interval,answer_type_different
969,What position did Giorgi Gakharia hold before becoming Georgia's 14th Prime Minister and replacing Giorgi Mghebrishvili?,When Giorgi Gakharia became Georgia's 14th Prime Minister,date,When Giorgi Gakharia became the 14th Prime Minister of Georgia and replaced Giorgi Mghebrishvili,date,intermediate_question_different
971,Who was the head of government in Mpumalanga before Ndaweni Mahlangu?,When Ndaweni Mahlangu was head of government in Mpumalanga,time interval,When Ndaweni Mahlangu became the head of government in Mpumalanga,date,intermediate_question_and_answer_type_different
972,"After winning the team pursuit championships in Ballerup, which UCI Women's Team did Lizzie Deignan join?",When Lizzie Deignan won the team pursuit championships in Ballerup,date,When Lizzie Deignan joined UCI Women's Team after winning the team pursuit championships in Ballerup,date,intermediate_question_different
973,What unparished area did Justin Langer retire from competitive cricket when he was with the Rajasthan Royals?,When Justin Langer was with the Rajasthan Royals,time interval,When Justin Langer retired from competitive cricket with the Rajasthan Royals,time interval,intermediate_question_different
975,What political party did Yair Lapid Faction represent in the Knesset after he was named the Most Influential Jew in the World by The Jerusalem Post?,When Yair Lapid was named the Most Influential Jew in the World by The Jerusalem Post,date,When Yair Lapid Faction was named the Most Influential Jew in the World by The Jerusalem Post,date,intermediate_question_different
976,"After being the ambassador of France to the Soviet Union, what position did Louis Joxe hold?",When Louis Joxe was the ambassador of France to the Soviet Union,time interval,When Louis Joxe was ambassador of France to the Soviet Union,time interval,intermediate_question_different
